id;plage;pharmacie;telephone1;telephone2;telephone3;localisation
1222;Mar. 01 Août. 2023 à 8h - Mer. 02 Août. 2023 à 8h;JERUSALEM;222 31 01 09;698 29 47 88;;Carrefour TKC - ETOUG-EBE
1223;Mar. 01 Août. 2023 à 8h - Mer. 02 Août. 2023 à 8h;VOLUNTAS DEI;675 77 46 65;699 97 18 59;;BIYEM-ASSI LAC
1224;Mar. 01 Août. 2023 à 8h - Mer. 02 Août. 2023 à 8h;EMANA  d';222 21 42 94;;;à côté du Supermarché Noblesse - EMANA
1225;Mar. 01 Août. 2023 à 8h - Mer. 02 Août. 2023 à 8h;BLEUE PLUS;222 21 14 92;;;face HOPITAL GENERAL
1226;Mar. 01 Août. 2023 à 8h - Mer. 02 Août. 2023 à 8h;THERIAQUE;679 68 05 11;695 76 41 15;;A côté SOUS-PREFECTURE
1227;Mar. 01 Août. 2023 à 8h - Mer. 02 Août. 2023 à 8h;GOD'S GLORY PHARMACY;242 15 89 55;243 23 05 31;;Entrée KOWEIT CITY - ODZA
453;Sam. 30 Sept. 2023 à 8h - Lun 02 Oct. 2023 à 8h;FRANCAISE;222 22 14 76;677 62 08 47;664 12 16 44;Face ancienne BICIC CENTRALE
454;Sam. 30 Sept. 2023 à 8h - Lun 02 Oct. 2023 à 8h;HORTENSIA  les;243 60 79 84;698 64 80 95;;POLYCLINIQUE TSINGA
455;Sam. 30 Sept. 2023 à 8h - Lun 02 Oct. 2023 à 8h;K'FOUR MOTO GEORGES;242 19 28 27;698 01 05 19;;MOTO GEORGES
456;Sam. 30 Sept. 2023 à 8h - Lun 02 Oct. 2023 à 8h;FLECHE  la;696 29 28 89;678 30 77 04;;MIMBOMAN TERMINUS
457;Sam. 30 Sept. 2023 à 8h - Lun 02 Oct. 2023 à 8h;ELIG-EDZOA  d';677 71 81 27;;;face CASSE ELIG EDZOA
459;Sam. 30 Sept. 2023 à 8h - Lun 02 Oct. 2023 à 8h;MVOG ATANGANA MBALLA;222 30 67 85;;;ENTREE M. MVOG-MBI
460;Sam. 30 Sept. 2023 à 8h - Lun 02 Oct. 2023 à 8h;GLOIRE;691 11 59 91;683 95 31 42;;"300m après USINE DES EAUX 
NKOLBISSON"
461;Sam. 30 Sept. 2023 à 8h - Lun 02 Oct. 2023 à 8h;UNIVERSITE  de l';222 23 30 48;672 91 08 08;;Carrefour CETIC NGOA EKELE
462;Sam. 30 Sept. 2023 à 8h - Lun 02 Oct. 2023 à 8h;JERUSALEM;222 31 01 09;698 29 47 88;;Carrefour TKC - ETOUG-EBE
464;Sam. 30 Sept. 2023 à 8h - Lun 02 Oct. 2023 à 8h;CENTRE MESSASSI (Ydé)  du;670.36.79.82;696.22.05.82;;Carrefour MESSASSI
465;Sam. 30 Sept. 2023 à 8h - Lun 02 Oct. 2023 à 8h;NOBEL;690 30 18 18;;;Carrefour ANCIEN 6ième ETOUDI
466;Sam. 30 Sept. 2023 à 8h - Lun 02 Oct. 2023 à 8h;RELAIS DE NKOMO  le;653 74 33 45;655 82 72 54;;PAROISSE NKOAYOS
467;Sam. 30 Sept. 2023 à 8h - Lun 02 Oct. 2023 à 8h;H&L;696 61 39 74;680 93 36 62;;face Boulangerie Essomba
468;Sam. 30 Sept. 2023 à 8h - Lun 02 Oct. 2023 à 8h;GOD'S GLORY PHARMACY;242 15 89 55;243 23 05 31;;Entrée KOWEIT CITY - ODZA
469;Sam. 30 Sept. 2023 à 8h - Lun 02 Oct. 2023 à 8h;BETHEL PHARMACY;222 30 07 41;;;EKIE _ BOULANGERIE MERLOT
472;Jeu. 28 Sept. 2023 à 8h - Ven. 29 Sept. 2023 à 8h;MVOG-ADA;222 22 43 25;;;Carrefour. BOUT- CARRE MVOG-ADA
473;Jeu. 28 Sept. 2023 à 8h - Ven. 29 Sept. 2023 à 8h;CITE  de la;691 43 50 45;;;TITI GARAGE - A COTE DU QUEBEC
474;Jeu. 28 Sept. 2023 à 8h - Ven. 29 Sept. 2023 à 8h;ROSEE  la;242 15 60 16;;;Carrefour TRADEX ELEVEURS
475;Jeu. 28 Sept. 2023 à 8h - Ven. 29 Sept. 2023 à 8h;EFOULAN;242 06 74 26;;;"à côté PALAIS CHARLES ATANGANA
(EFOULAN)"
476;Jeu. 28 Sept. 2023 à 8h - Ven. 29 Sept. 2023 à 8h;MOLIVA;222 23 00 82;;;MOBIL (OIL LYBIA) MADAGASCAR
477;Jeu. 28 Sept. 2023 à 8h - Ven. 29 Sept. 2023 à 8h;LAC  du;222 22 20 80;;;MINISTERE de l'EQUIPEMENT
478;Jeu. 28 Sept. 2023 à 8h - Ven. 29 Sept. 2023 à 8h;JOUVENCE  de la;222 31 72 24;;;Rond Point EXPRESS - BIYEM-ASSI
576;Jeu. 21 Sept. 2023 à 8h - Ven. 22 Sept. 2023 à 8h;MFOUNDI  du;222 23 78 88;;;Carrefour ELIG ESSONO
578;Jeu. 21 Sept. 2023 à 8h - Ven. 22 Sept. 2023 à 8h;GENEVOISE;679 69 27 80;657 83 10 64;;"Nvlle Rte MIMBOMAN  Carrefour
MVOG-ENYEGUE"
580;Jeu. 21 Sept. 2023 à 8h - Ven. 22 Sept. 2023 à 8h;LYCEE BILINGUE  du;222 22 98 37;242 72 22 03;;Carrefour HÔTEL DU PLATEAU
581;Jeu. 21 Sept. 2023 à 8h - Ven. 22 Sept. 2023 à 8h;SIFA;659 60 58 43;;;face CHAPELLE MVOG-MBI
582;Jeu. 21 Sept. 2023 à 8h - Ven. 22 Sept. 2023 à 8h;CYPRES  du;242 06 47 59;;;1ier Carrefour NKOLBISSON
583;Jeu. 21 Sept. 2023 à 8h - Ven. 22 Sept. 2023 à 8h;SAINT ANDRÉ CHATEAU;671 93 66 78;655 56 54 81;;"Montée PARC _ face MATGENIE
NKOLBIKOK PARC"
584;Jeu. 21 Sept. 2023 à 8h - Ven. 22 Sept. 2023 à 8h;ETOILE  de l';222 31 49 62;696 49 42 51;671 28 06 98;Montée MAISONS BLANCHES
585;Jeu. 21 Sept. 2023 à 8h - Ven. 22 Sept. 2023 à 8h;ELITE;222 31 65 25;670 12 67 26;;Carrefour GP – MVOG-BETSI
586;Jeu. 21 Sept. 2023 à 8h - Ven. 22 Sept. 2023 à 8h;HERMES;243 64 11 81;677 98 70 76;664 46 07 46;face BOULANGERIE NEZAFI _ EMANA
587;Jeu. 21 Sept. 2023 à 8h - Ven. 22 Sept. 2023 à 8h;MANGUIERS  des;242 06 04 09;694 02 64 61;;Rue DES MANGUIERS
588;Jeu. 21 Sept. 2023 à 8h - Ven. 22 Sept. 2023 à 8h;H&L;696 61 39 74;680 93 36 62;;face Boulangerie Essomba
589;Jeu. 21 Sept. 2023 à 8h - Ven. 22 Sept. 2023 à 8h;MINDILI;655 77 32 70;222 30 22 80;690.64.85.80;Carrefour de L'AMITIE - EKOUMDOUM
590;Jeu. 21 Sept. 2023 à 8h - Ven. 22 Sept. 2023 à 8h;MATURITE;655 44 91 38;672 31 10 98;;NEPTUNE _ ODZA
479;Jeu. 28 Sept. 2023 à 8h - Ven. 29 Sept. 2023 à 8h;VOLUNTAS DEI;675 77 46 65;699 97 18 59;;BIYEM-ASSI LAC
480;Jeu. 28 Sept. 2023 à 8h - Ven. 29 Sept. 2023 à 8h;SAINTE GABRIELLE;692 26 38 93;;;NYOM 1 - au Pont DJONASSI
481;Jeu. 28 Sept. 2023 à 8h - Ven. 29 Sept. 2023 à 8h;ETOUDI  d';242 03 50 51;;;Face FOKOU ETOUDI
482;Jeu. 28 Sept. 2023 à 8h - Ven. 29 Sept. 2023 à 8h;RELAIS DE NKOMO  le;653 74 33 45;655 82 72 54;;PAROISSE NKOAYOS
483;Jeu. 28 Sept. 2023 à 8h - Ven. 29 Sept. 2023 à 8h;CYGNE ODZA  le;657 35 88 25;222 30 13 76;;face TOTAL BORNE 10 - ODZA
484;Jeu. 28 Sept. 2023 à 8h - Ven. 29 Sept. 2023 à 8h;EKOUMDOUM;650 85 30 31;620 02 44 92;;HAPPY EKOUMDOUM
485;Ven. 29 Sept. 2023 à 8h - Sam. 30 Sept. 2023 à 8h;BIEN ETRE  du;677 33 80 28;;;ELIG ESSONO (face HÔTEL GRAND
486;Ven. 29 Sept. 2023 à 8h - Sam. 30 Sept. 2023 à 8h;ELOBI;222 20 41 37;658 18 37 18;;MOKOLO ELOBI
487;Ven. 29 Sept. 2023 à 8h - Sam. 30 Sept. 2023 à 8h;ISIS;222 23 35 78;;;EMOMBO
488;Ven. 29 Sept. 2023 à 8h - Sam. 30 Sept. 2023 à 8h;COLOMBE;699 10 43 73;654 83 64 71;;TEXACO OMNISPORT
489;Ven. 29 Sept. 2023 à 8h - Sam. 30 Sept. 2023 à 8h;LYCEE BILINGUE  du;222 22 98 37;242 72 22 03;;Carrefour HÔTEL DU PLATEAU
490;Ven. 29 Sept. 2023 à 8h - Sam. 30 Sept. 2023 à 8h;CODEX;242 07 59 88;;;AHALA 1  Entrée PHARMACAM
491;Ven. 29 Sept. 2023 à 8h - Sam. 30 Sept. 2023 à 8h;CYPRES  du;242 06 47 59;;;1ier Carrefour NKOLBISSON
492;Ven. 29 Sept. 2023 à 8h - Sam. 30 Sept. 2023 à 8h;VIE  de la;222 22 67 87;;;face FOKOU MOKOLO
493;Ven. 29 Sept. 2023 à 8h - Sam. 30 Sept. 2023 à 8h;OBILI CHAPELLE;222 31 81 22;694 28 56 83 /;;CHAPELLE OBILI
494;Ven. 29 Sept. 2023 à 8h - Sam. 30 Sept. 2023 à 8h;HERMES;243 64 11 81;677 98 70 76;664 46 07 46;face BOULANGERIE NEZAFI _ EMANA
495;Ven. 29 Sept. 2023 à 8h - Sam. 30 Sept. 2023 à 8h;MANGUIERS  des;242 06 04 09;694 02 64 61;;Rue DES MANGUIERS
496;Ven. 29 Sept. 2023 à 8h - Sam. 30 Sept. 2023 à 8h;SAINT VICTOR ESSOMBA;672 87 87 33;;;MOSQUEE ESSOMBA
497;Ven. 29 Sept. 2023 à 8h - Sam. 30 Sept. 2023 à 8h;ODZA  d';691 86 77 72;;;Carrefour MBOG-ABANG
498;Ven. 29 Sept. 2023 à 8h - Sam. 30 Sept. 2023 à 8h;MINKAN  de;697 24 77 75;673 49 07 17;;"MINKAN entrée par Carrefour TERMINUS
ODZA"
499;Mer. 27 Sept. 2023 à 8h - Jeu. 28 Sept. 2023 à 8;CAMEROUNAISE;242 00 11 33;;;CATHEDRALE YAOUNDE
500;Mer. 27 Sept. 2023 à 8h - Jeu. 28 Sept. 2023 à 8;TSINGA  de;699 55 01 55;;;face PMI TSINGA
501;Mer. 27 Sept. 2023 à 8h - Jeu. 28 Sept. 2023 à 8;LYRIS;681 32 45 92;;;MIMBOMAN CHAPELLE  face Feicom
502;Mer. 27 Sept. 2023 à 8h - Jeu. 28 Sept. 2023 à 8;POPULAIRE;222 23 23 41;;;A côté SUPERMARCHÉ DOVV ESSOS
503;Mer. 27 Sept. 2023 à 8h - Jeu. 28 Sept. 2023 à 8;REFERENCE  la;242 04 25 96;652 62 36 72 /;;TRANSFORMATEUR NGOUSSO
504;Mer. 27 Sept. 2023 à 8h - Jeu. 28 Sept. 2023 à 8;NKONDONGO;242 00 47 60;242 11 54 07;;NKONDONGO ECOLE
505;Mer. 27 Sept. 2023 à 8h - Jeu. 28 Sept. 2023 à 8;BLED  du;674 43 15 22;;;Carrefour CARAMBA - NKOLBISSON
506;Mer. 27 Sept. 2023 à 8h - Jeu. 28 Sept. 2023 à 8;CARREFOUR EMIA;222 23 42 07;222 23 00 86 /;;EMIA
507;Mer. 27 Sept. 2023 à 8h - Jeu. 28 Sept. 2023 à 8;SIMBA'A;222 31 48 62;656 19 41 52 /;;Montée JOUVENCE MENDONG
508;Mer. 27 Sept. 2023 à 8h - Jeu. 28 Sept. 2023 à 8;MELEN 8;222 31 68 63;242 08 31 89;;Carrefour BIYEM-ASSI
509;Mer. 27 Sept. 2023 à 8h - Jeu. 28 Sept. 2023 à 8;DIGNITE;651 53 12 83;697 68 26 88;;OLEMBE _ Entrée ECOLE
510;Mer. 27 Sept. 2023 à 8h - Jeu. 28 Sept. 2023 à 8;BLEUE PLUS;222 21 14 92;;;face HOPITAL GENERAL
511;Mer. 27 Sept. 2023 à 8h - Jeu. 28 Sept. 2023 à 8;PERSEVERANCE  la;243 84 41 35;243 84 67 75;;AWAE ESCALIER
512;Mer. 27 Sept. 2023 à 8h - Jeu. 28 Sept. 2023 à 8;MINDILI;655 77 32 70;222 30 22 80;;Carrefour de L'AMITIE - EKOUMDOUM
513;Mer. 27 Sept. 2023 à 8h - Jeu. 28 Sept. 2023 à 8;MATURITE;655 44 91 38;672 31 10 98;;NEPTUNE _ ODZA
514;Mar. 26 Sept. 2023 à 8h - Mer. 27 Sept. 2023 à 8h;SAINT MARTIN;222 23 18 69;;;A COTE KATIOS
515;Mar. 26 Sept. 2023 à 8h - Mer. 27 Sept. 2023 à 8h;"GRANDE PHARMACIE DES
LUMIERES";222 20 58 55;;;ROND-POINT NLONGKAK
516;Mar. 26 Sept. 2023 à 8h - Mer. 27 Sept. 2023 à 8h;MEMORIAL  le;674 09 23 87;222 30 05 81;;Carrefour Iptec à Nkolndongo
517;Mar. 26 Sept. 2023 à 8h - Mer. 27 Sept. 2023 à 8h;BON BERGER  le;242 60 67 77;6 99 98 51 68;691 24 86 07;"NOUVELLE ROUTE OMNISPORTS - Rue
FOE"
518;Mar. 26 Sept. 2023 à 8h - Mer. 27 Sept. 2023 à 8h;CHAPELLE  de la;222 21 33 21;;;CHAPELLE NGOUSSO
519;Mar. 26 Sept. 2023 à 8h - Mer. 27 Sept. 2023 à 8h;AHALA  d';690 80 93 02;682 93 60 72;;Barrière AHALA
520;Mar. 26 Sept. 2023 à 8h - Mer. 27 Sept. 2023 à 8h;OYOM ABANG;699 93 11 81;673 28 49 44;;PLACE DU MARCHE
522;Mar. 26 Sept. 2023 à 8h - Mer. 27 Sept. 2023 à 8h;GRACE  de la;242 04 15 61;;;MENDONG - Quincaillerie de la PAIX
523;Mar. 26 Sept. 2023 à 8h - Mer. 27 Sept. 2023 à 8h;NSIMEYONG;694 01 12 46;620 26 36 89;;Chapelle NSIMEYONG
524;Mar. 26 Sept. 2023 à 8h - Mer. 27 Sept. 2023 à 8h;EMANA  d';222 21 42 94;;;à côté du Supermarché Noblesse - EMANA
525;Mar. 26 Sept. 2023 à 8h - Mer. 27 Sept. 2023 à 8h;BAYARD;670 11 54 36;;;face HÔPITAL GYNECO OBSTÉTRIQUE
526;Mar. 26 Sept. 2023 à 8h - Mer. 27 Sept. 2023 à 8h;THERIAQUE;679 68 05 11;695 76 41 15;;A côté SOUS-PREFECTURE
527;Mar. 26 Sept. 2023 à 8h - Mer. 27 Sept. 2023 à 8h;;;;;NKONDENGUI
528;Mar. 26 Sept. 2023 à 8h - Mer. 27 Sept. 2023 à 8h;MESSAMENDONGO;693 05 53 75;650 26 51 41;;Carrefour MESSAMENDONGO
529;Sam. 23 Sept. 2023 à 8h - Lun. 25 Sept. 2023 à 8h;PETALES  des;222 23 15 97;;;vers LE CAPITOLE
530;Sam. 23 Sept. 2023 à 8h - Lun. 25 Sept. 2023 à 8h;ALLIANCE;222 21 88 54;693 78 75 35;;ECOLE PUBLIQUE DE BASTOS
531;Sam. 23 Sept. 2023 à 8h - Lun. 25 Sept. 2023 à 8h;EMMANUEL;222 20 02 44;;;MONTEE
532;Sam. 23 Sept. 2023 à 8h - Lun. 25 Sept. 2023 à 8h;CHATEAU DE MIMBOMAN  du;242 06 22 98;;;CHAPELLE D'EMOMBO
533;Sam. 23 Sept. 2023 à 8h - Lun. 25 Sept. 2023 à 8h;SANTE;222 22 30 03 /;690 10 02 40;;face HÔPITAL DE LA CAISSE
534;Sam. 23 Sept. 2023 à 8h - Lun. 25 Sept. 2023 à 8h;ATHERA;620 26 13 34;650 62 05 05;;TiTI GARAGE - Résidence VERTE
535;Sam. 23 Sept. 2023 à 8h - Lun. 25 Sept. 2023 à 8h;ESSELE;691 98 27 60;;;Carrefour DAMASE  face DEPÔT DE BOIS
536;Sam. 23 Sept. 2023 à 8h - Lun. 25 Sept. 2023 à 8h;SOTOWNEK;242 67 51 15;697 95 38 86;;Carrefour MEEC.
537;Sam. 23 Sept. 2023 à 8h - Lun. 25 Sept. 2023 à 8h;7 COLLINES;222 22 65 71;;;Immeuble FEUGUIF _MINI FERME
538;Sam. 23 Sept. 2023 à 8h - Lun. 25 Sept. 2023 à 8h;SIMBOCK;691 76 78 64;650 39 42 38;;ECOLE DE GUERRE
539;Sam. 23 Sept. 2023 à 8h - Lun. 25 Sept. 2023 à 8h;BEATITUDES  les;242 03 75 82;677 96 21 16;;Carrefour LYCEE DE BIYEM - ASSI
540;Sam. 23 Sept. 2023 à 8h - Lun. 25 Sept. 2023 à 8h;OLEMBE;658 24 86 75;;;face STATION PETROLEX  OLEMBE
541;Sam. 23 Sept. 2023 à 8h - Lun. 25 Sept. 2023 à 8h;PALAIS;691 54 16 18;;;après la STATION TOTAL ETOUDI
542;Sam. 23 Sept. 2023 à 8h - Lun. 25 Sept. 2023 à 8h;SAINTE ELISABETH de NKOMO;243 15 30 58;;;"Carrefour NKOMO _ face BOULANGERIE
FONTANA"
543;Sam. 23 Sept. 2023 à 8h - Lun. 25 Sept. 2023 à 8h;THERIAQUE;679 68 05 11;695 76 41 15;;A côté SOUS-PREFECTURE
544;Sam. 23 Sept. 2023 à 8h - Lun. 25 Sept. 2023 à 8h;ODZA  d';691 86 77 72;;;Carrefour MBOG-ABANG
545;Sam. 23 Sept. 2023 à 8h - Lun. 25 Sept. 2023 à 8h;MINKAN  de;697 24 77 75;673 49 07 17;;MINKAN entrée par Carrefour TERMINUS
546;Lun. 25 Sept. 2023 à 8h - Mar. 26 Sept. 2023 à 8h;INTENDANCE  de l';222 22 46 94;;;Carrefour INTENDANCE
547;Lun. 25 Sept. 2023 à 8h - Mar. 26 Sept. 2023 à 8h;JOURDAIN  le;676 88 95 25;;;à côté de l’Immeuble MACABO -NKOMKANA
548;Lun. 25 Sept. 2023 à 8h - Mar. 26 Sept. 2023 à 8h;BOTANIK;694 73 54 60;;;SHAKESPEARE MIMBOMAN I
549;Lun. 25 Sept. 2023 à 8h - Mar. 26 Sept. 2023 à 8h;CRYSTALLIS  le;242 71 05 86;667 08 95 63;;Carrefour ETOA MEKI
550;Lun. 25 Sept. 2023 à 8h - Mar. 26 Sept. 2023 à 8h;SAINTE ANNE;696 48 84 87;653 19 27 79;;face Polyclinique FOUDA – quartier
551;Lun. 25 Sept. 2023 à 8h - Mar. 26 Sept. 2023 à 8h;PRIORITE SANTE;671 02 52 81;656 10 94 95;;"Brigade de Gendarmerie de
NKOLMESSENG"
552;Lun. 25 Sept. 2023 à 8h - Mar. 26 Sept. 2023 à 8h;NSAM EFOULAN;242 19 40 81;222 31 98 59;;Carrefour NSAM
553;Lun. 25 Sept. 2023 à 8h - Mar. 26 Sept. 2023 à 8h;MARIJOVA;699 98 86 83;;;"Entre Carrefour MEEC et DOVV - Nvlle
route NKOLBISSONG"
554;Lun. 25 Sept. 2023 à 8h - Mar. 26 Sept. 2023 à 8h;QUEENS;656 77 61 78;670 37 80 09;;à côté TRADEX NKOLBIKOK
555;Lun. 25 Sept. 2023 à 8h - Mar. 26 Sept. 2023 à 8h;TERANGA  la;698 83 22 97;;;"à 100m SUPERMARCHE DOVV
MENDONG"
556;Lun. 25 Sept. 2023 à 8h - Mar. 26 Sept. 2023 à 8h;UNIVERSELLE;650 71 43 82;698 18 29 08;;BIYEM-ASSI BISCUITERIE
557;Lun. 25 Sept. 2023 à 8h - Mar. 26 Sept. 2023 à 8h;CANA;222 20 97 51;;;Carrefour JAMOT
558;Lun. 25 Sept. 2023 à 8h - Mar. 26 Sept. 2023 à 8h;TONGOLO;222 20 94 85;657 95 18 18;678 93 10 04;Carrefour CLUB YANNICK
559;Lun. 25 Sept. 2023 à 8h - Mar. 26 Sept. 2023 à 8h;SAINTE ELISABETH de NKOMO;243 15 30 58;;;"Carrefour NKOMO _ face BOULANGERIE
FONTANA"
560;Lun. 25 Sept. 2023 à 8h - Mar. 26 Sept. 2023 à 8h;FOI  de la;656 49 68 11;681 52 63 19;;PETIT MARCHE D'ODZA
561;Ven. 22 Sept. 2023 à 8h - Sam. 23 Sept. 2023 à 8h;MOISSON  de la;222 23 16 19;;;POSTE CENTRALE
562;Ven. 22 Sept. 2023 à 8h - Sam. 23 Sept. 2023 à 8h;ECOLE de POLICE;222 03 63 25;699 97 68 79 /;;ECOLE DE POLICE
563;Ven. 22 Sept. 2023 à 8h - Sam. 23 Sept. 2023 à 8h;MONTESQUIEU;650 83 75 32;;;COLLEGE MONTESQUIEU - MVOG ADA
564;Ven. 22 Sept. 2023 à 8h - Sam. 23 Sept. 2023 à 8h;ELIG-EDZOA  d';677 71 81 27;;;face CASSE ELIG EDZOA
565;Ven. 22 Sept. 2023 à 8h - Sam. 23 Sept. 2023 à 8h;STADE  du;222 20 67 10;;;STADE OMNISPORT
566;Ven. 22 Sept. 2023 à 8h - Sam. 23 Sept. 2023 à 8h;CAPUCINES  des;242 66 63 05;;;SIANTOU SUPERIEUR
567;Ven. 22 Sept. 2023 à 8h - Sam. 23 Sept. 2023 à 8h;GLOIRE;691 11 59 91;683 95 31 42;;300m après USINE DES EAUX 
568;Ven. 22 Sept. 2023 à 8h - Sam. 23 Sept. 2023 à 8h;ROYALE;222 22 32 17;242 06 11 01;;ELIG-EFFA
569;Ven. 22 Sept. 2023 à 8h - Sam. 23 Sept. 2023 à 8h;BEATO MEMASO;222 31 57 52;;;Lycée d'ETOUG-EBE _ Montée SCIENCE
570;Ven. 22 Sept. 2023 à 8h - Sam. 23 Sept. 2023 à 8h;PRINCIPALE;222 31 49 08;;;Entrée IRIC - Carrefour OBILI
571;Ven. 22 Sept. 2023 à 8h - Sam. 23 Sept. 2023 à 8h;BRUXELLOISE;242 17 38 63;651 30 10 53;;après la station TRADEX EMANA
572;Ven. 22 Sept. 2023 à 8h - Sam. 23 Sept. 2023 à 8h;NOBEL;690 30 18 18;;;Carrefour ANCIEN 6ième ETOUDI
574;Ven. 22 Sept. 2023 à 8h - Sam. 23 Sept. 2023 à 8h;CYGNE ODZA  le;657 35 88 25;222 30 13 76;;face TOTAL BORNE 10 - ODZA
575;Ven. 22 Sept. 2023 à 8h - Sam. 23 Sept. 2023 à 8h;EKOUMDOUM;650 85 30 31;620 02 44 92;;HAPPY EKOUMDOUM
591;Mar. 19 Sept. 2023 à 8h - Mer. 20 Sept. 2023 à 8h;URBAINE;222 23 49 11;697 55 15 56;;Montée ANE ROUGE - HÔTEL ROYAL
592;Mar. 19 Sept. 2023 à 8h - Mer. 20 Sept. 2023 à 8h;GOLF  du;692 33 47 46;;;Carrefour GOLF
593;Mar. 19 Sept. 2023 à 8h - Mer. 20 Sept. 2023 à 8h;BALANCE  la;222 23 70 74;;;CARREF.ANGUISSA
594;Mar. 19 Sept. 2023 à 8h - Mer. 20 Sept. 2023 à 8h;POPULAIRE;222 23 23 41;;;A côté SUPERMARCHÉ DOVV ESSOS
595;Mar. 19 Sept. 2023 à 8h - Mer. 20 Sept. 2023 à 8h;REFERENCE  la;242 04 25 96;652 62 36 72 /;;TRANSFORMATEUR NGOUSSO
596;Mar. 19 Sept. 2023 à 8h - Mer. 20 Sept. 2023 à 8h;OLEZOA;222 23 93 37;;;MOBIL OLEZOA
597;Mar. 19 Sept. 2023 à 8h - Mer. 20 Sept. 2023 à 8h;BLED  du;674 43 15 22;;;Carrefour CARAMBA - NKOLBISSON
598;Mar. 19 Sept. 2023 à 8h - Mer. 20 Sept. 2023 à 8h;SAINTE BERNADETTE;691 30 34 90;650 68 49 78;;CRADAT
599;Mar. 19 Sept. 2023 à 8h - Mer. 20 Sept. 2023 à 8h;GET BETTER;655 33 16 36 /;;;Carrefour du CENTRE DES HANDICAPES
600;Mar. 19 Sept. 2023 à 8h - Mer. 20 Sept. 2023 à 8h;OBILI CHAPELLE;222 31 81 22;694 28 56 83 /;;CHAPELLE OBILI
601;Mar. 19 Sept. 2023 à 8h - Mer. 20 Sept. 2023 à 8h;DIGNITE;651 53 12 83;697 68 26 88;;OLEMBE _ Entrée ECOLE
521;Mar. 26 Sept. 2023 à 8h - Mer. 27 Sept. 2023 à 8h;MANDELA;242 79 29 85;;;Face CHU
577;Jeu. 21 Sept. 2023 à 8h - Ven. 22 Sept. 2023 à 8h;KETCHY;222 23 90 22;;;MADAGASCAR
579;Jeu. 21 Sept. 2023 à 8h - Ven. 22 Sept. 2023 à 8h;COLOMBE;699 10 43 73;654 83 64 71;;TEXACO OMNISPORT
602;Mar. 19 Sept. 2023 à 8h - Mer. 20 Sept. 2023 à 8h;BLEUE PLUS;222 21 14 92;;;face HOPITAL GENERAL
603;Mar. 19 Sept. 2023 à 8h - Mer. 20 Sept. 2023 à 8h;SAINT VICTOR ESSOMBA;672 87 87 33;;;MOSQUEE ESSOMBA
604;Mar. 19 Sept. 2023 à 8h - Mer. 20 Sept. 2023 à 8h;FOI  de la;656 49 68 11;681 52 63 19;;PETIT MARCHE D'ODZA
605;Mer. 20 Sept. 2023 à 8h - Jeu. 21 Sept. 2023 à 8h;20 MAI  du;222 23 92 88;699 71 25 53;;AVENUE DU 20 MAI
606;Mer. 20 Sept. 2023 à 8h - Jeu. 21 Sept. 2023 à 8h;VERSET  du;222 20 95 07;;;DERRIERE CINEMA REX
607;Mer. 20 Sept. 2023 à 8h - Jeu. 21 Sept. 2023 à 8h;AUMACHA;680 82 25 57;657 65 34 20 /;;"MIMBOMAN PETIT MARCHÉ  derriére
SAPEUR"
608;Mer. 20 Sept. 2023 à 8h - Jeu. 21 Sept. 2023 à 8h;CITE  de la;691 43 50 45;;;TITI GARAGE - A COTE DU QUEBEC
609;Mer. 20 Sept. 2023 à 8h - Jeu. 21 Sept. 2023 à 8h;ROSEE  la;242 15 60 16;;;Carrefour TRADEX ELEVEURS
610;Mer. 20 Sept. 2023 à 8h - Jeu. 21 Sept. 2023 à 8h;TROPICANA;673 22 71 44;;;entrée OFFICE DU BAC _ MVAN
611;Mer. 20 Sept. 2023 à 8h - Jeu. 21 Sept. 2023 à 8h;MOLIVA;222 23 00 82;;;MOBIL (OIL LYBIA) MADAGASCAR
612;Mer. 20 Sept. 2023 à 8h - Jeu. 21 Sept. 2023 à 8h;MESSA;222 22 53 54;694 28 73 04;;Entrée CAMP YEYAP _ MESSA
613;Mer. 20 Sept. 2023 à 8h - Jeu. 21 Sept. 2023 à 8h;BIYEM-ASSI  de;222 31 71 93;676 11 37 86;;face NIKI
614;Mer. 20 Sept. 2023 à 8h - Jeu. 21 Sept. 2023 à 8h;BETHESDA;222 31 39 97;;;TAM-TAM WEEK-END
615;Mer. 20 Sept. 2023 à 8h - Jeu. 21 Sept. 2023 à 8h;SAINTE GABRIELLE;692 26 38 93;;;NYOM 1 - au Pont DJONASSI
616;Mer. 20 Sept. 2023 à 8h - Jeu. 21 Sept. 2023 à 8h;ETOUDI  d';242 03 50 51;;;Face FOKOU ETOUDI
617;Mer. 20 Sept. 2023 à 8h - Jeu. 21 Sept. 2023 à 8h;SANTE & VIE;682 24 74 78;;;face GP BITENG
618;Mer. 20 Sept. 2023 à 8h - Jeu. 21 Sept. 2023 à 8h;MESSAMENDONGO;693 05 53 75;650 26 51 41;;Carrefour MESSAMENDONGO
619;Mer. 20 Sept. 2023 à 8h - Jeu. 21 Sept. 2023 à 8h;SAINTE URIEL;693 74 14 05;652 73 22 65;;DERNIER POTEAU _ EKIE
653;Ven. 15 Sept. 2023 à 8h - Sam. 16 Sept. 2023 à 8h;MARCHE  du;242 01 50 46;690 30 75 88;;MARCHE CENTRAL
